날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-02-14,192,9.2,3.7,19.2
2020-02-15,192,10,2.4,16.8
2020-02-16,192,5,-0.7,10.3
2020-02-17,192,-0.3,-2.5,2.4
2020-02-18,192,0.4,-6.9,8.5
2020-02-19,192,3.1,-5.5,12.2
2020-02-20,192,5.4,-2.3,14.8
2020-02-21,192,7,-2.5,15.1
2020-02-22,192,8.3,1.1,13
2020-02-23,192,3.6,-4,11.4
2020-02-24,192,6.7,-3.8,16.1
2020-02-25,192,8.1,7.6,9.1
2020-02-26,192,9.4,4,15.2
2020-02-27,192,7.3,4.3,11
2020-02-28,192,5.2,3.5,7.1
2020-02-29,192,6.5,2,12.1
2020-03-01,192,8.9,1.7,15.3
2020-03-02,192,7.7,1.7,13.7
2020-03-03,192,6.9,0.8,13.2
2020-03-04,192,6.2,1.3,12
2020-03-05,192,3.3,-3.3,11.8
2020-03-06,192,4.1,-4.7,13.8
2020-03-07,192,4.5,0.1,9.6
2020-03-08,192,7.4,-0.7,17.2
2020-03-09,192,8,0.5,13.7
2020-03-10,192,9,3.5,11
2020-03-11,192,4.8,-2.3,12.3
2020-03-12,192,6,-3.5,15.6
2020-03-13,192,9.3,0.8,17.3
2020-03-14,192,7.4,2.7,11.8
2020-03-15,192,6,-1.9,13.1
2020-03-16,192,5.6,-2.5,11.9
2020-03-17,192,9.3,-1.5,18.7
2020-03-18,192,9.4,0,18.2
2020-03-19,192,12.1,5.3,18.5
2020-03-20,192,10.6,2.8,16.4
2020-03-21,192,12.3,1.6,20.8
2020-03-22,192,13.6,7.4,22.2
2020-03-23,192,11.6,0.8,20.3
2020-03-24,192,9.6,1.7,18.7
2020-03-25,192,11.2,1.3,19.6
2020-03-26,192,10.8,8,12.6
2020-03-27,192,14.6,9.6,22.6
2020-03-28,192,8.7,5.5,12.3
2020-03-29,192,9,0.4,15.9
2020-03-30,192,11.4,6.3,18.4
2020-03-31,192,11.4,2.9,20.6
2020-04-01,192,13.6,8.3,20.9
2020-04-02,192,9.7,1,18.1
2020-04-03,192,10.8,1.2,19.8
2020-04-04,192,10.9,0.7,21.7
2020-04-05,192,7.5,-1.4,16.7
2020-04-06,192,9.3,-1.5,18.4
2020-04-07,192,13,3.5,22.1
2020-04-08,192,12.1,3.3,20
2020-04-09,192,10.2,0.5,18.2
2020-04-10,192,9.5,7.4,11.7
2020-04-11,192,9.2,6.4,13.3
2020-04-12,192,9.3,6.5,13.2
2020-04-13,192,9.9,3.5,16.7
2020-04-14,192,11.8,-0.3,22.8
2020-04-15,192,11.3,3.4,20.5
2020-04-16,192,11.4,2.2,20
2020-04-17,192,10.7,8,12
2020-04-18,192,14.1,7.4,21.7
2020-04-19,192,10.8,8.8,14
2020-04-20,192,13.6,7,20
2020-04-21,192,11.4,6.3,18.3
2020-04-22,192,8.1,1.2,14.6
2020-04-23,192,8.1,-0.6,15.8
2020-04-24,192,10.4,-0.5,17.8
2020-04-25,192,14.4,4,21.3
2020-04-26,192,13.7,4.8,20.7
2020-04-27,192,12.7,4,20.6
2020-04-28,192,12.4,2.2,21.9
2020-04-29,192,14.6,3.6,24.2
2020-04-30,192,16,4.5,23.5
2020-05-01,192,20.7,16.8,25.5
2020-05-02,192,19.2,13.8,26.3
2020-05-03,192,16.8,15.1,18.2
2020-05-04,192,20.8,15.1,28.2
2020-05-05,192,17.7,15.3,20.5
2020-05-06,192,19.1,12,28.8
2020-05-07,192,16.2,8.5,24.5
2020-05-08,192,15.7,5.5,22.6
2020-05-09,192,17,15.7,19.2
2020-05-10,192,18.1,12.1,25.4
2020-05-11,192,19.6,9,28.9
2020-05-12,192,19.4,13.7,24.8
2020-05-13,192,17.1,7.3,25.6
2020-05-14,192,17.2,8.6,25.9
2020-05-15,192,15,14.1,16.8
2020-05-16,192,19.4,15.1,26.2
2020-05-17,192,19.3,15.8,24
2020-05-18,192,17.8,15.3,21.1
2020-05-19,192,14.3,9.9,18.7
2020-05-20,192,15.8,8,23.3
2020-05-21,192,16.1,12.8,21.2
2020-05-22,192,16.5,10.8,23.2
2020-05-23,192,17.4,9.6,25.2
2020-05-24,192,19.7,13.1,25.1
2020-05-25,192,19.4,14.3,24.9
2020-05-26,192,19.1,15.1,25.1
2020-05-27,192,19.8,13.1,27.3
2020-05-28,192,19.5,11.3,26.2
2020-05-29,192,20.2,11.9,28.3
2020-05-30,192,19.8,14.5,25.5
2020-05-31,192,19.8,14.6,26.2
2020-06-01,192,22.1,15.9,28.9
2020-06-02,192,20.2,10.9,28.6
2020-06-03,192,21.4,15.3,27.8
2020-06-04,192,24.2,19.7,30.9
2020-06-05,192,24.1,17.6,31.1
2020-06-06,192,22.5,19.5,30
2020-06-07,192,22.6,17.4,29
2020-06-08,192,23.1,14.1,32.2
2020-06-09,192,24.2,14.3,33.1
2020-06-10,192,24.7,18.3,32.8
2020-06-11,192,24.8,20.7,31.2
2020-06-12,192,24.6,21.7,30.2
2020-06-13,192,23.1,20.8,27.2
2020-06-14,192,24.4,20,29.1
2020-06-15,192,23.6,17.3,30.4
2020-06-16,192,23.9,16.7,31.8
2020-06-17,192,21.5,16.1,26.7
2020-06-18,192,18.1,16.6,20.4
2020-06-19,192,22.3,17.6,29.2
2020-06-20,192,22.3,18.2,28.6
2020-06-21,192,22.3,17.7,29.2
2020-06-22,192,22.9,15.6,30
2020-06-23,192,23.4,16.3,30.5
2020-06-24,192,22,19.2,24.7
2020-06-25,192,22.9,21.2,25.2
2020-06-26,192,24.4,19.1,30.7
2020-06-27,192,24.2,19.1,30.2
2020-06-28,192,25.8,20.1,31.4
2020-06-29,192,21.8,19.7,25.3
2020-06-30,192,22.7,19.4,26.7
2020-07-01,192,22.3,18.6,27.5
2020-07-02,192,21.6,16.5,27.1
2020-07-03,192,19.5,18.1,21.3
2020-07-04,192,21.1,17.2,25.1
2020-07-05,192,22.2,19.3,27.1
2020-07-06,192,22,18.9,24
2020-07-07,192,24.6,21.8,30.1
2020-07-08,192,24.9,20.8,30.2
2020-07-09,192,22.6,18.8,27.3
2020-07-10,192,23.9,21.7,28.7
2020-07-11,192,24.7,21.7,29.7
2020-07-12,192,20.9,19.3,22.1
2020-07-13,192,19.3,18.5,20.2
2020-07-14,192,20.2,18.8,23.1
2020-07-15,192,19.5,18.7,21.7
2020-07-16,192,22,18.2,28.2
2020-07-17,192,22.7,18.8,29.4
2020-07-18,192,22.1,18.7,25.7
2020-07-19,192,23.3,20.7,26.2
2020-07-20,192,26.3,23.8,30.2
2020-07-21,192,25.2,22,29.6
2020-07-22,192,23.4,22.1,25.1
2020-07-23,192,22.5,21.7,23.7
2020-07-24,192,21.1,20,22.7
2020-07-25,192,21.6,19.8,24.5
2020-07-26,192,23.7,20.2,28.8
2020-07-27,192,22,19.7,25.2
2020-07-28,192,24.4,22,28.9
2020-07-29,192,24.4,23.2,27.4
2020-07-30,192,24.6,21.8,30.8
2020-07-31,192,26.2,22.4,31.3
2020-08-01,192,26.6,23.3,31.1
2020-08-02,192,27.4,24.5,31.4
2020-08-03,192,27.2,24.7,30.4
2020-08-04,192,27.4,23.2,31.2
2020-08-05,192,27.1,24.3,29.5
2020-08-06,192,26.9,25.8,27.8
2020-08-07,192,25.4,23.4,27.3
2020-08-08,192,25.3,23.6,26.3
2020-08-09,192,27.4,24.3,30.6
2020-08-10,192,25.8,24.7,28
2020-08-11,192,26.5,25.5,29.8
2020-08-12,192,27.8,25.6,30.9
2020-08-13,192,28,24.2,32.7
2020-08-14,192,28.7,26.1,32.2
2020-08-15,192,29.2,25.3,34.5
2020-08-16,192,28.4,23.2,33.3
2020-08-17,192,28.3,24.5,34.8
2020-08-18,192,28.5,23.5,35
2020-08-19,192,28.3,23,35.2
2020-08-20,192,28.4,22.6,35.7
2020-08-21,192,27.5,23.3,32.9
2020-08-22,192,26.7,23.7,30.8
2020-08-23,192,26.6,22.8,32.2
2020-08-24,192,27.1,22.7,33.2
2020-08-25,192,28,22.2,34.1
2020-08-26,192,27.4,25.1,32.6
2020-08-27,192,27.3,25.5,30.8
2020-08-28,192,26.7,24.2,30.6
2020-08-29,192,27.2,24,31.9
2020-08-30,192,27.8,24.5,34.3
2020-08-31,192,26.6,23.6,30.2
2020-09-01,192,26,22.2,30.5
2020-09-02,192,25.2,23.8,27.1
2020-09-03,192,25.8,18.4,30.6
2020-09-04,192,22.6,16.6,29.2
2020-09-05,192,19.9,17.8,22.6
2020-09-06,192,20.3,17.8,22.7
2020-09-07,192,22.2,19.3,24.9
2020-09-08,192,24.3,21.5,29.1
2020-09-09,192,22.5,18.6,27.2
2020-09-10,192,22.9,19.4,28.9
2020-09-11,192,21.8,19.7,26.3
2020-09-12,192,21.2,18.7,24.5
2020-09-13,192,20.5,18.4,23.8
2020-09-14,192,22.1,18.8,27.7
2020-09-15,192,22.8,18.2,28.3
2020-09-16,192,21.4,19.8,23.3
2020-09-17,192,20.6,18.1,23.7
2020-09-18,192,18.9,14.8,23.4
2020-09-19,192,18.6,11.3,26.5
2020-09-20,192,18.2,10.6,27
2020-09-21,192,17.5,11.1,24.5
2020-09-22,192,17.6,13.5,23.2
2020-09-23,192,19.1,13.1,22.6
2020-09-24,192,20.2,15.1,24.5
2020-09-25,192,19.9,13.2,25.7
2020-09-26,192,18.9,13.6,26
2020-09-27,192,18.4,13.2,25.2
2020-09-28,192,17,10,24.7
2020-09-29,192,17,10,25.3
2020-09-30,192,18.9,12.6,26
2020-10-01,192,19.3,13.7,26.1
2020-10-02,192,19.5,13.8,25.4
2020-10-03,192,20.6,17.3,26.3
2020-10-04,192,19.5,16,24.8
2020-10-05,192,15.9,10.6,21.3
2020-10-06,192,15.1,7.9,22.8
2020-10-07,192,17.4,10.8,23.2
2020-10-08,192,18.2,15.1,22.9
2020-10-09,192,18.8,14.5,23.3
2020-10-10,192,18.3,13.8,24
2020-10-11,192,16.2,10.8,22.9
2020-10-12,192,17.2,12,24.8
2020-10-13,192,14.2,8.1,22.8
2020-10-14,192,13.4,6.4,22.1
2020-10-15,192,14,8.5,22.5
2020-10-16,192,12.1,5.9,17.1
2020-10-17,192,14.2,6,22.4
2020-10-18,192,13.6,7,22.1
2020-10-19,192,12.8,5.4,22.2
2020-10-20,192,12.8,5,23.2
2020-10-21,192,13.4,8.3,18.6
2020-10-22,192,14.8,10.9,18.7
2020-10-23,192,11.1,4.8,18
2020-10-24,192,9.4,2.2,18.6
2020-10-25,192,10.8,2.4,21.2
2020-10-26,192,11.4,3.9,21.3
2020-10-27,192,11.7,5,21.8
2020-10-28,192,12.7,7.5,20.4
2020-10-29,192,10.5,2.7,19.6
2020-10-30,192,10.7,3,20.2
2020-10-31,192,9.9,3.5,18.6
2020-11-01,192,11.7,6.2,14.2
2020-11-02,192,11.8,4.5,18.6
2020-11-03,192,7.3,1.9,13.3
2020-11-04,192,5.3,-1.8,15.3
2020-11-05,192,7.5,-2.5,15.8
2020-11-06,192,11,6.3,14.6
2020-11-07,192,12.8,6.2,22.2
2020-11-08,192,10.2,2.2,19.5
2020-11-09,192,8,2.8,14.6
2020-11-10,192,7.8,1.5,16.7
2020-11-11,192,6.4,-1.3,16.5
2020-11-12,192,7.5,0.1,18.8
2020-11-13,192,8.4,0.3,20.2
2020-11-14,192,9.8,2,19.5
2020-11-15,192,10.3,3.1,19.5
2020-11-16,192,11.3,3.4,21.6
2020-11-17,192,15.1,11.3,19.3
2020-11-18,192,18.2,12.9,23.6
2020-11-19,192,19.3,12.7,23.6
2020-11-20,192,9.7,3.7,14
2020-11-21,192,8.9,1,15.3
2020-11-22,192,9.6,6.9,12.1
2020-11-23,192,6,0.6,12.4
2020-11-24,192,5.7,0.2,13.6
2020-11-25,192,7,0.1,15.6
2020-11-26,192,7.6,2.4,13.8
2020-11-27,192,7.2,2.2,13.8
2020-11-28,192,3.9,-1.5,9
2020-11-29,192,3.3,-3,10.8
2020-11-30,192,4.1,-1.8,10.8
2020-12-01,192,2.2,-4.9,10.8
2020-12-02,192,3,-2.3,10.9
2020-12-03,192,3.7,-2.7,10.8
2020-12-04,192,2.1,-3.1,9.5
2020-12-05,192,2.3,-4.6,11.5
2020-12-06,192,2.4,-3.9,11.7
2020-12-07,192,2.9,-3.6,10.8
2020-12-08,192,2.3,-3,9
2020-12-09,192,0.8,-6,10.8
2020-12-10,192,3.2,-1.8,10.6
2020-12-11,192,4.8,-2.5,13.4
2020-12-12,192,4.9,-1.8,11.1
2020-12-13,192,3.6,-3.8,11.8
2020-12-14,192,-1.1,-4.1,1.9
2020-12-15,192,-2.6,-6.3,2.1
2020-12-16,192,-2.7,-8.8,3.1
2020-12-17,192,-2.2,-9.8,6.1
2020-12-18,192,0.2,-7,8.8
2020-12-19,192,0.4,-3.8,4.9
2020-12-20,192,0.2,-6,7.3
2020-12-21,192,-1.3,-7.4,7.7
2020-12-22,192,-0.7,-7.5,8.6
2020-12-23,192,0.4,-6.6,9
2020-12-24,192,4.3,-1.8,12.8
2020-12-25,192,1.7,-4,7.9
2020-12-26,192,1,-5.4,9.7
2020-12-27,192,3.2,-0.5,7.1
2020-12-28,192,3.1,0.1,11.3
2020-12-29,192,3.9,-0.9,12
2020-12-30,192,-3.2,-6.6,1.2
2020-12-31,192,-2.5,-7.4,3.4
2021-01-01,192,-1.9,-8.4,4.5
2021-01-02,192,-0.4,-4.6,5.6
2021-01-03,192,0.1,-5,5.7
2021-01-04,192,-1.5,-7.7,7.2
2021-01-05,192,-0.4,-5.5,6.9
2021-01-06,192,-2.3,-8.1,2.2
2021-01-07,192,-6.9,-12.1,-1.3
2021-01-08,192,-9.1,-15.4,-1.9
2021-01-09,192,-7,-14.8,0.5
2021-01-10,192,-5.6,-12.9,1.9
2021-01-11,192,-3.3,-7.9,1.3
2021-01-12,192,-1.9,-10.4,5.4
2021-01-13,192,3.4,-4.8,11.8
2021-01-14,192,3.3,-4.9,13
2021-01-15,192,7.5,-1.9,15.6
2021-01-16,192,2.4,-2.1,8.5
2021-01-17,192,-1.6,-7,3
2021-01-18,192,-0.8,-8.3,5.1
2021-01-19,192,-1.9,-8.2,5.6
2021-01-20,192,-0.4,-9.7,10.6
2021-01-21,192,5.2,-2.6,12.6
2021-01-22,192,7,5.1,9.8
2021-01-23,192,8.9,6.8,11.6
2021-01-24,192,8,3,11.6
2021-01-25,192,6.3,-1.2,14.3
2021-01-26,192,4.7,1.5,7.4
2021-01-27,192,4.1,-1.2,11.4
2021-01-28,192,1.4,-3,10.7
2021-01-29,192,-2.3,-6,3
2021-01-30,192,-0.3,-9.2,9.1
2021-01-31,192,3.1,-6,12.2
2021-02-01,192,7.5,4.3,10.6
2021-02-02,192,0.4,-5.2,7.5
2021-02-03,192,-1.6,-8.5,5.1
2021-02-04,192,2.4,-4,10
2021-02-05,192,1.2,-7.1,8
2021-02-06,192,4.1,-5.6,15
2021-02-07,192,6.4,-2.1,15
2021-02-08,192,2.2,-2.8,6.6
2021-02-09,192,-0.2,-8,9.1
2021-02-10,192,1.9,-7,13
2021-02-11,192,4,-3.3,11.6
2021-02-12,192,5.9,-1.3,16.1
2021-02-13,192,7,-2.9,19.9
2021-02-14,192,8.8,1.5,15.2
2021-02-15,192,6,-1.6,12.5
2021-02-16,192,0.7,-6.4,8.1
2021-02-17,192,-3,-5.5,0.2
2021-02-18,192,-2.5,-8.3,2.7
2021-02-19,192,3.1,-8.9,13.2
2021-02-20,192,12.4,5.9,19.9
2021-02-21,192,13.7,3.5,23.3
2021-02-22,192,14.3,8.1,21.8
2021-02-23,192,6.9,0.3,14.3
2021-02-24,192,3.6,-2.3,11.6
2021-02-25,192,4.3,-1.4,8.3
2021-02-26,192,8.7,4.9,13.9
2021-02-27,192,7.4,3.4,12.5
2021-02-28,192,7.4,2.6,11.8
2021-03-01,192,11.1,7,16
2021-03-02,192,5.2,-0.8,10.8
2021-03-03,192,3.8,-3.3,11.1
2021-03-04,192,5.2,0.8,8.5
2021-03-05,192,10.6,2.4,20
2021-03-06,192,7.6,2.2,15.8
2021-03-07,192,6.4,2.5,11.8
2021-03-08,192,7.3,-1,15.6
2021-03-09,192,9.2,4.5,15.3
2021-03-10,192,8.4,0.5,18.1
2021-03-11,192,9.4,0.6,17.6
2021-03-12,192,9,8.4,10.5
2021-03-13,192,8.7,1.8,16.9
2021-03-14,192,9.2,2.7,17.8
2021-03-15,192,10.5,1,17.3
2021-03-16,192,13.9,4.9,22.2
2021-03-17,192,9.2,0.4,19.2
2021-03-18,192,10.8,2.5,19.4
2021-03-19,192,12.3,6.7,19.6
2021-03-20,192,9.7,7.8,11.8
2021-03-21,192,9.1,4.9,13.6
2021-03-22,192,7.3,1.1,12.7
2021-03-23,192,9.1,-2.3,18.6
2021-03-24,192,9.9,1,17.5
2021-03-25,192,12.1,2.5,21.8
2021-03-26,192,12.4,2.4,23.8
2021-03-27,192,11.4,3.7,16.2
2021-03-28,192,16,10,20.4
2021-03-29,192,13.6,7.5,20.2
2021-03-30,192,12.2,5.8,22
2021-03-31,192,12.1,2.8,22.2
2021-04-01,192,14,5.3,21.4
2021-04-02,192,17.2,12.6,22.4
2021-04-03,192,,14.3,17.3
2021-04-04,192,12.4,9.3,16.5
2021-04-05,192,10.5,4.5,17.8
2021-04-06,192,11.3,1.3,21.1
2021-04-07,192,13.3,3.3,22.7
2021-04-08,192,12.9,5.5,21.8
2021-04-09,192,10.5,2.2,19.2
2021-04-10,192,10,2.4,18.5
2021-04-11,192,11.5,2.5,21
2021-04-12,192,11.5,8.1,15
2021-04-13,192,14.4,6.1,20.6
2021-04-14,192,10.4,5,17.8
2021-04-15,192,9.6,0.8,18
2021-04-16,192,12.8,2.2,20.3
2021-04-17,192,12.7,4.9,19.8
2021-04-18,192,10.7,2.6,18.8
2021-04-19,192,13.2,1.2,23.9
2021-04-20,192,14.8,3,26.6
2021-04-21,192,17.1,6.8,27.2
2021-04-22,192,17.6,12.5,24.8
2021-04-23,192,18,12.6,23.8
2021-04-24,192,16.4,9.2,24.8
2021-04-25,192,15.9,9.4,23.3
2021-04-26,192,12.7,4.8,20.8
2021-04-27,192,13.3,5.8,18.7
2021-04-28,192,16.7,9.1,24
2021-04-29,192,17.7,11,24.1
2021-04-30,192,16.4,9.8,21.1
2021-05-01,192,10.6,5.6,15.2
2021-05-02,192,11.6,4.1,19.4
2021-05-03,192,13.9,4.4,21.5
2021-05-04,192,16.2,10.6,19.4
2021-05-05,192,16.8,6.9,23.7
2021-05-06,192,13.8,3.5,21.5
2021-05-07,192,16.4,7.9,25
2021-05-08,192,15.6,4.1,23.1
2021-05-09,192,17,8.5,25.7
2021-05-10,192,16.2,10.2,21.2
2021-05-11,192,16.7,14,19.5
2021-05-12,192,19.5,14.5,26
2021-05-13,192,21,13,29.3
2021-05-14,192,21.3,14,28.6
2021-05-15,192,19.8,17.7,22.1
2021-05-16,192,20.9,20,22.3
2021-05-17,192,18.5,16,21.3
2021-05-18,192,17.8,15.5,23.7
2021-05-19,192,20.8,14.3,29.1
2021-05-20,192,15.9,15.3,16.7
2021-05-21,192,17.8,13.9,22
2021-05-22,192,19,10.5,27.1
2021-05-23,192,21.1,12.4,29
2021-05-24,192,21.2,16.1,26
2021-05-25,192,17.7,11.5,25.2
2021-05-26,192,16.8,10.6,23.2
2021-05-27,192,17.5,12.1,24.8
2021-05-28,192,17.5,9,24.3
2021-05-29,192,18.4,10.2,25.6
2021-05-30,192,19.2,11.1,27
2021-05-31,192,20.2,14.3,28
2021-06-01,192,20.7,12,28.7
2021-06-02,192,20.9,15.3,28.7
2021-06-03,192,18.4,15.7,19.7
2021-06-04,192,20.6,14.3,26.5
2021-06-05,192,19.8,11,26.4
2021-06-06,192,21.7,17.7,27.2
2021-06-07,192,22,15.1,28.7
2021-06-08,192,23.5,18.2,31
2021-06-09,192,23.6,17.1,31.3
2021-06-10,192,22.4,15.9,26.8
2021-06-11,192,21.3,19,23.5
2021-06-12,192,23.6,21,27.9
2021-06-13,192,24.3,20.6,29.8
2021-06-14,192,23.1,20.7,27.7
2021-06-15,192,20.9,19.5,23
2021-06-16,192,21.2,18.8,24.2
2021-06-17,192,21.5,19,25.1
2021-06-18,192,20.8,18.9,24.2
2021-06-19,192,23.3,18.5,30.3
2021-06-20,192,23.3,16.3,29.5
2021-06-21,192,23.9,16.2,32
2021-06-22,192,21.3,16.4,27.3
2021-06-23,192,21.1,18.5,25.5
2021-06-24,192,21.8,18.1,26.9
2021-06-25,192,22.3,17,28.5
2021-06-26,192,22.2,18.8,28
2021-06-27,192,23,16.3,29.3
2021-06-28,192,24.5,20.5,30.1
2021-06-29,192,23.8,19.4,28.7
2021-06-30,192,23.8,19.6,29.5
