index,메뉴,분류,재료1,재료2
0,대패삼겹숙주볶음,볶음류,육류,채소류
1,봄동나물,무침류,채소류,
2,콩나물간장조림,조림류,채소류,
3,닭찜,찜류,육류,
4,아삭고추무침,무침류,채소류,
5,스프,스프류,곡류,
6,쌀밥,밥류,곡류,
7,수제돈가스,튀김류,육류,
16,수제어묵볶음,볶음류,어패류,
17,차돌박이된장찌개,찌개류,육류,
18,문어꽈리고추조림,조림류,어패류,
19,파프리카해초무침,무침류,채소류,해조류
20,바나나,과일류,과일류,
24,참치야채비빔밥,밥류,어패류,채소류
25,브로컬리두부무침,무침류,채소류,
26,갈치감자조림,조림류,어패류,곡류
27,양상추샐러드,샐러드류,채소류,
1116,오미지D,소스류,양념 및 장류,
1117,김치국수,면류,곡류,김치류
1118,생크림와플,빵과자류,곡류,양념 및 장류
1119,김계란말이,구이류,난류,해조류
1120,푸실리샐러드,샐러드류,채소류,채소류
1121,커피,음료류,두류,
1122,버섯육개장,국탕류,육류,채소류
1123,김주먹밥,밥류,곡류,해조류
1124,페스츄리,빵과자류,곡류,
1125,크래미해초무침,무침류,어패류,해조류
1126,오징어&브로컬리숙회,회류,어패류,채소류
1127,새우까스,튀김류,어패류,
1163,소스,소스류,양념 및 장류,
1172,버섯국,국탕류,채소류,
1173,매운콩나물무침,무침류,채소류,
1174,사과오이냉국,국탕류,채소류,과일류
1175,냉이바지락국,국탕류,어패류,채소류
1176,나쵸칩,빵과자류,곡류,
1177,깐풍연근,튀김류,채소류,
1178,국물떡볶이,떡류,곡류,
1179,오리훈제볶음밥,비빔밥볶음밥류,육류,곡류
1180,닭죽,죽류,곡류,
1181,새송이버섯볶음,볶음류,채소류,
1182,고추간장지,무침류,양념 및 장류,
1183,훈제오리떡볶음,볶음류,육류,곡류
1184,열무김치국수,면류,곡류,
1185,호박잎찌개,찌개류,채소류,
1186,시금치프리타타,구이류,채소류,
1187,두부스테이크,조림류,두류,
1188,포도,과일류,과일류,
1189,볼어묵곤약볶음,볶음류,어패류,
1190,비엔나피망볶음,볶음류,육류,채소류
1191,참치주먹밥,밥류,어패류,곡류
1192,모듬소세지버섯구이,구이류,육류,채소류
1193,야채볶음밥,비빔밥볶음밥류,채소류,곡류
1194,야채볶음밥,비빔밥볶음밥류,채소류,
1197,짜장소스,소스류,양념 및 장류,
1213,콩나물무침,무침류,채소류,
1214,도토리묵,묵류,채소류,
1223,장,소스류,양념 및 장류,
1239,연두부찌개,찌개류,두류,
1240,콘스프,스프류,곡류,
1241,물냉면,면류,곡류,
1242,돈육볶음,볶음류,육류,
1243,순대국밥,덮밥국밥류,육류,
1244,버블샐러드,샐러드류,채소류,
1245,D오리엔탈D,소스류,양념 및 장류,
1246,봄동숙,나물류,채소류,
1247,간장양념,소스류,양념 및 장류,
1251,키위드레싱샐러드,샐러드류,채소류,
1252,쌈장,소스류,양념 및 장류,
1258,쌈장,소스류,채소류,
1284,쌈장,무침류,양념 및 장류,
1290,쌈장,무침류,채소류,
1316,오이맛살초무침,무침류,채소류,어패류
1317,모듬장조림,조림류,육류,채소류
1318,해물동그랑땡,전류,어패류,
1319,삼겹살수육,찜류,육류,
1323,풋고추,채소류,채소류,
1332,레몬유린기,튀김류,육류,
1333,(New)칠리가지탕수,튀김류,채소류,
1334,참나물무침,무침류,채소류,
1335,유부채소겨자냉채,무침류,채소류,
1336,등심찹쌀꿔바로우,튀김류,육류,
1337,옹심이국,국탕류,곡류,
1338,생선까스,튀김류,어패류,
1362,생선까스,구이류,어패류,
1402,칠리소스,소스류,양념 및 장류,
1483,망고드레싱,소스류,양념 및 장류,
1484,망고드레싱,소스류,과일류,
1487,조랭이떡국,국탕류,곡류,
1488,감자조림,조림류,곡류,
1489,카레감자채볶음,볶음류,곡류,
1490,주꾸미브로콜리숙회,회류,어패류,채소류
1491,야채쫄면,면류,곡류,채소류
1492,사과오이생채,샐러드류,과일류,채소류
1493,분홍소세지구이,구이류 ,육류,
1494,케찹,소스류,양념 및 장류,
1519,비빔메밀국수,면류 ,곡류,
1520,버섯매운탕,국탕류,채소류,
1521,당면계란만두,만두류,곡류,난류
1522,냉이콩나물국,국탕류,채소류,
1523,양념돼지갈비찜,찜류,육류,
1524,굴비구이,구이류,어패류,
1525,청경채찜,찜류,채소류,
1526,참치야채샐러드,샐러드류,어패류,채소류
1527,수제석박지,김치류,김치류,
1528,홍합죽,죽류,어패류,
1529,돈육두릅장조림,조림류,육류,
1530,콩나물부추무침,무침류,채소류,
1531,스파게티,면류,곡류,
1532,조랭이떡미역국,국탕류,해조류,
1533,매콤사태찜,찜류,육류,
1534,우엉불고기,구이류,육류,
1535,함박스테이크,구이류,육류,
1539,밤죽,죽류,곡류,
1540,삼치엿장구이,구이류,어패류,
1541,오이맛살냉채,무침류,어패류,채소류
1542,사과푸딩샐러드,샐러드류,채소류,
1543,요플레D,소스류,양념 및 장류,
1544,요플레D,소스류,유제품류,
1547,모닝샌드위치,빵과자류,곡류,
1548,맛살계란말이,구이류,어패류,난류
1549,미트볼채소볶음,볶음류,육류,채소류
1550,삼겹살오븐구이,구이류,육류,
1551,브로콜리쌈장무침,무침류,채소류,
1552,대구지리,국탕류,어패류,
1553,오복지,무침류,채소류,
1554,콩비지찌개,찌개류,두류,
1555,비트무생채,무침류,채소류,
1556,브로컬리된장무침,무침류,채소류,
1557,(New)장수제비,국탕류,곡류,
1558,취나물된장무침,무침류,채소류,
1559,콘치즈,샐러드류,곡류,유제품류
1560,부추오이생채,샐러드류,채소류,
1561,구슬떡볶이,떡류,곡류,
1562,햄감자볶음,볶음류,육류,곡류
1563,자몽에이드,음료류,과일류,
1564,애호박전,전류,채소류,
1565,마제소바,면류,곡류,
1566,김치두루치기,구이류,육류,김치류
1567,소보루빵,빵과자류,곡류,
1568,통새우김밥,밥류,어패류,곡류
1569,등뼈김치찜,찜류,육류,김치류
1570,보름나물,무침류,채소류,
1571,(New)연어스테이크,구이류,어패류,
1572,그린요거트샐러드,샐러드류,채소류,
1573,인절미토스트,빵과자류,곡류,
1574,갈릭돈가스,튀김류,육류,
1575,파인애플주스,음료류,과일류,
1576,양념찜닭,찜류,육류,
1577,부추팽이버섯생채무침,무침류,채소류,
1578,프레즐,빵과자류,곡류,
1579,양송이스프,스프류,채소류,곡류
1580,치킨무,무침류,채소류,
1581,돈간장불고기,구이류,육류,
1582,과일탕수육,튀김류,육류,
1583,양송이죽,죽류,채소류,
1584,어묵매운탕,국탕류,어패류,
1585,부추겉절이,김치류,채소류,
1586,삼겹보쌈,구이류,육류,
1587,단호박),찜류,채소류,
1588,강된장,찌개류,양념 및 장류,
1591,강된장,소스류,양념 및 장류,
1597,미역국,국탕류,해조류,
1598,단호박계란찜,찜류,난류,채소류
1599,유채나물겉절이,무침류,채소류,
1600,사과푸딩,디저트,과일류,
1601,두반장감자볶음,볶음류,두류,
1602,김치우동,면류,곡류,
1603,홍어무침,무침류,어패류,
1604,페퍼로니치즈피자,구이류,곡류,육류
1605,치즈함박스테이크,구이류,육류,
1606,콩나물파채불고기,구이류,육류,채소류
1607,동그랑땡부침,전류,곡류,육류
1608,쑥국,국탕류,채소류,
1609,한방설렁탕,국탕류,육류,
1610,황태채국,국탕류,어패류,
1611,수제비국,국탕류,곡류,
1612,매콤미니함박,구이류,육류,
1613,쫄면채소무침,무침류,곡류,
1614,갈릭돈까스,튀김류,육류,
1615,볶음밥,비빔밥볶음밥류,곡류,
1616,볶음밥,비빔밥볶음밥류,채소류,
1618,볶음밥,비빔밥볶음밥류,채소류,곡류
1631,콩나물불고기,구이류,육류,
1632,양파,채소류,채소류,
1636,열무물국수,면류,곡류,김치류
1637,오징어볶음,볶음류,어패류,
1646,소면사리,면류,곡류,
1647,달래무침,무침류,채소류,
1648,해쉬포테이토,튀김류,곡류,
1649,양배추숙쌈,무침류,채소류,
1651,양배추숙쌈,나물류,채소류,
1653,돈나물유자청무침,무침류,채소류,
1654,소세지구이,구이류,육류,
1655,참치김치찌개,찌개류,어패류,김치류
1656,진미채간장조림,조림류,어패류,
1657,아메리카노,음료류,두류,
1658,쫄면무침,무침류,곡류,
1659,김치수제비국,국탕류,곡류,김치류
1660,감자간장조림,조림류,곡류,
1661,갈릭순살치킨,튀김류,육류,
1662,분홍소시지전,전류,육류,
1663,츄러스채소맛탕,조림류,채소류,
1664,비타민샐러드,샐러드류,채소류,
1668,(New)팟시금치무쌉,비빔밥볶음밥류,채소류,
1669,쇠고기버섯국,국탕류,육류,
1670,새싹두부구이,구이류,두류,
1671,요거트D,소스류,유제품류,
1675,요거트D,소수류,유제품류,
1687,수박화채,과일류,과일류,
1688,야채전,전류,채소류,
1689,쭈꾸미숙회무침,무침류,어패류,
1690,미소시루,국탕류,양념 및 장류,
1691,매운닭개장,찌개류,육류,
1692,나가사끼짬뽕국,국탕류,어패류,곡류
1693,나가사끼짬뽕국,국탕류,어패류,
1696,라면,면류,곡류,
1697,아귀콩나물찜,찜류,어패류,채소류
1698,꼬막미나리초무침,무침류,어패류,채소류
1699,쇠고기느타리국,국탕류,육류,채소류
1700,어묵잡채볶음,볶음류,어패류,채소류
1701,야채스틱,채소류,채소류,
1717,간장깻잎지,무침류,채소류,
1718,소고기낙지볶음,볶음류,육류,어패류
1719,명란계란말이,구이류,난류,
1720,동전쥐포무침,무침류,어패류,
1721,야채고로케,튀김류,곡류,채소류
1722,장어구이,구이류,어패류,
1723,단호박어묵탕수,튀김류,어패류,채소류
1724,나물비빔밥,비빔밥볶음밥류,채소류,곡류
1725,느타리버섯볶음,볶음류,채소류,
1726,탈탈소스,소스류,양념 및 장류,
1742,두부까스,튀김류,두류,
1743,브로컬리무침,무침류,채소류,
1744,치즈계란말이,구이류,난류,유제품류
1745,동그랑땡계란부침,부침류,난류,
1746,새우야채죽,죽류,어패류,곡류
1747,스크램블에그,구이류,난류,
1748,콩나물굴소스볶음,볶음류,채소류,
1749,황태콩나물해장국,국탕류,어패류,
1750,두부고기조림,조림류,두류,
1751,감자고추장찌개,찌개류,곡류,양념 및 장류
1752,흑임자곤약샐러드,샐러드류,채소류,
1753,연두부찜,찜류,두류,
1754,수제오징어튀김,튀김류,어패류,
1755,맑은만두육개장,국탕류,육류,
1756,배추김치,김치류,김치류,
1757,옹심이감자국,국탕류,곡류,
1758,바지락냉이국,국탕류,어패류,
1759,맑은계란국,국탕류,난류,
1760,가지나물무침,무침류,채소류,
1761,명엽채무침,무침류,채소류,
1762,바지락수제비,국탕류,어패류,
1763,배추맑은국,국탕류,채소류,
1764,시래기된장국,국탕류,채소류,
1765,생선커틀렛,튀김류,어패류,
1766,사과주스,음료류,과일류,
1767,연두부,찜류,두류,
1816,새싹장,소스류,양념 및 장류,
1817,숙주미나리무침,무침류,채소류,
1818,감자버터구이,구이류,곡류,
1819,유부된장국,국탕류,두류,
1820,호빵,빵과자류,곡류,
1821,야채쫄면무침,무침류,곡류,채소류
1822,양념간장,소스류,양념 및 장류,
1826,칠리탕수육,튀김류,육류,
1827,간장찜닭,조림류,육류,
1828,새송이조림,조림류,채소류,
1829,목살필라프,비빔밥볶음밥류,육류,
1830,사각어묵무침,무침류,어패류,
1831,(New)바지락비빔밥,비빔밥볶음밥류,어패류,
1832,시금치핫케익,빵과자류,채소류,
1833,감자양파국,국탕류,곡류,
1834,에그포테이토샌드위치,빵과자류,난류,곡류
1835,섭산적채소조림,조림류,채소류,
1836,새우날치알볶음밥,비빔밥볶음밥류,어패류,
1837,김가루실파무침,무침류,어패류,
1838,살라미샌드위치,빵과자류,어패류,
1839,(New)인도커리,덮밥국밥류,양념 및 장류,
1840,난,빵과자류,곡류,
1841,다슬기아욱국,국탕류,어패류,
1842,미역죽,죽류,해조류,
1843,소고기버섯볶음,볶음류,육류,
1844,와사비소스,소스류,양념 및 장류,
1848,잡채,면류,곡류,채소류
1849,신김치도토리묵,묵류,채소류,
1850,김밥,밥류,곡류,채소류
1851,눈꽃치즈샐러드,샐러드류,채소류,
1855,오리엔탈D,소스류,양념 및 장류,
1859,참나물,무침류,채소류,
1860,우삼겹부대찌개,찌개류,육류,
1861,로제스파게티,면류,곡류,
1862,고추잡채,면류,채소류,
1864,고추잡채,면류,육류,채소류
1871,땅콩크림빵,빵과자류,곡류,
1872,초장,소스류,양념 및 장류,
1876,콜리샐러드,샐러드류,채소류,
1877,발사믹D,소스류,양념 및 장류,
1886,과일,과일류,과일류,
1890,프로바이오틱,유제품류,유제품류,
1891,모듬튀김,튀김류,채소류,
1895,청경채,채소류,채소류,
1896,단호박카레라이스,덮밥국밥류,채소류,양념 및 장류
1897,멘보샤,튀김류,어패류,곡류
1898,칠리S,소스류,양념 및 장류,
1899,메밀국수,면류,곡류,
1900,햄피망볶음,볶음류,육류,채소류
1901,두부들깨탕,국탕류,두류,
1902,매운쇠고기샤브샤브,국탕류,육류,
1903,설렁탕,국탕류,육류,
1904,돈육칠리강정,튀김류,육류,
1905,우엉곤약조림,조림류,채소류,
1906,김자반볶음,볶음류,곡류,
1907,우거지탕,국탕류,채소류,
1908,얼갈이생채,김치류,채소류,
1909,소떡소떡,디저트,육류,곡류
1910,돈육김치찌개,찌개류,육류,김치류
1911,김실파무침,무침류,해조류,
1912,포도D,소스류,과일류,
1913,게살죽,죽류,어패류,
1914,녹차카스테라,빵과자류,곡류,
1915,시금치초무침,무침류,채소류,
1916,매운어묵무침,무침류,어패류,
1917,피바지락국,국탕류,어패류,
1918,순두부백탕,국탕류,두류,
1927,간장,소스류,양념 및 장류,
1931,건새우아욱된장국,국탕류,어패류,
1932,녹두김치전,전류,김치류,
1933,김칫국,국탕류,김치류,
1934,송편,떡류,곡류,
1935,삶은계란,찜류,난류,
1936,치커리유자무침,무침류,채소류,
1937,떡만두국,국탕류,곡류,
1938,옥수수맛살전,전류,어패류,곡류
1939,사과나무주스,음료류,과일류,
1940,오징어야채무침,무침류,어패류,채소류
1941,베이컨숙주볶음,볶음류,육류,채소류
1942,김치국,국탕류,김치류,
1943,꽈리고추어묵조림,조림류,어패류,
1944,파래김,해조류,어패류,
1945,파래김,해조류,해조류,
1969,달래양념장,소스류,채소류,양념 및 장류
1970,달래양념장,소스류,양념 및 장류,채소류
1971,달래양념장,소스류,양념 및 장류,
1972,달래양념장,조림류,채소류,양념 및 장류
1973,달래양념장,조림류,양념 및 장류,채소류
1974,달래양념장,조림류,양념 및 장류,
1978,등갈비묵은지찜,찜류,육류,
1979,모듬쌈,채소류,채소류,
1983,천도복숭아,과일류,과일류,
1987,대구찌개,찌개류,어패류,
1988,고추장누들떡볶이,떡류,곡류,
1989,부추샐러드,샐러드류,채소류,
1990,오리엔탈,소스류,양념 및 장류,
1994,꽈리고추찜,찜류,채소류,
1995,감자맛살볶음,볶음류,어패류,곡류
1996,낙지볶음밥,비빔밥볶음밥류,어패류,
1997,모둠버섯초무침,무침류,채소류,
1998,유부김칫국,국탕류,김치류,두류
1999,카스테라,빵과자류,곡류,
2000,감자치즈오븐구이,구이류,곡류,
2001,삼치튀김,튀김류,어패류,
2005,데리소스,소스류,양념 및 장류,
2006,시금치고추장나물,무침류,채소류,
2007,부대찌개,찌개류,육류,
2011,쫄면사리,면류,곡류,
2012,땅콩조림,조림류,두류,
2013,옛날왕돈가스,튀김류,육류,
2014,마약토스트,빵과자류,곡류,
2015,요거트드링킹,유제품류,유제품류,
2016,멸치캐슈넛볶음,볶음류,어패류,
2017,"이색전(가지,애호박)",전류,채소류,
2018,양념장,소스류,양념 및 장류,
2067,북엇국,국탕류,어패류,
2068,비엔나감자볶음,볶음류,육류,
2069,돈육간장강정,튀김류,육류,
2070,사과롤케익,빵과자류,과일류,
2071,콥샐러드,샐러드류,채소류,
2072,과일주스,음료류,과일류,
2073,잡곡밥,밥류,곡류,
2074,나쵸,빵과자류,곡류,
2075,팽이된장국,국탕류,채소류,
2076,해물까스,튀김류,어패류,
2125,자몽D,소스류,과일류,
2126,깻잎지,무침류,채소류,
2127,가지양파나물,무침류,채소류,
2128,무말랭이무침,무침류,채소류,
2129,콩나물볶음,볶음류,채소류,
2130,양파링카레튀김,튀김류,채소류,
2131,브로컬리들깨찜,찜류,채소류,
2132,버섯햄볶음,볶음류,채소류,육류
2133,해물겨자냉채,샐러드류,어패류,
2134,식혜,음료류,곡류,
2138,치킨커틀렛,튀김류,육류,
2139,새송이떡갈비구이,구이류,육류,
2140,시리얼샐러드,샐러드류,채소류,
2144,오이부추무침,무침류,채소류,
2145,삼색샌드위치,빵과자류,채소류,곡류
2146,고추장멸치볶음,볶음류,어패류,
2147,소보로빵,빵과자류,곡류,
2148,갈비만두,만두류,육류,
2149,비엔나볶음,볶음류,육류,
2150,깻잎순볶음,볶음류,채소류,
2151,녹두빈대떡,전류,채소류,
2152,녹두빈대떡,전류,곡류,
2155,부들어묵볶음,볶음류,어패류,
2156,오렌지쥬스,음료류,과일류,
2157,모듬묵샐러드,샐러드류,채소류,
2158,꽁치한마리구이,구이류,어패류,
2162,와사비장,소스류,양념 및 장류,
2166,유기농식혜,음료류,곡류,
2167,잡채말이어묵국,국탕류,어패류,
2168,깐쇼새우,볶음류,어패류,
2169,피자샌드,빵과자류,육류,
2170,부추팽이무침,무침류,채소류,
2171,쥐어채무침,무침류,어패류,
2172,유채겉절이,김치류,채소류,
2173,고추튀김,튀김류,채소류,
2177,오리대패불고기,구이류,육류,
2178,마늘치킨,튀김류,육류,
2179,(New)캔꽁치튀김,튀김류,어패류,
2180,찹쌀도너츠,빵과자류,곡류,
2181,쿠키,빵과자류,곡류,
2182,해초샐러드,샐러드류,채소류,채소류
2183,사과즙,음료류,과일류,
2184,더덕구이,구이류,채소류,
2185,양상추메추리알샐러드,샐러드류,채소류,난류
2186,마파무조림,조림류,채소류,
2187,김가루잔파무침,무침류,해조류,
2188,건새우무조림,조림류,어패류,
2189,소고기스프,스프류,육류,
2190,미트볼케찹조림,조림류,육류,
2191,느타리버섯국,국탕류,채소류,
2192,오이소박이,김치류,채소류,
2193,와플,빵과자류,곡류,
2194,지리멸치볶음,볶음류,어패류,
2195,치커리생채,무침류,채소류,
2196,꽁치양파조림,조림류,어패류,
2197,초계국수,면류,육류,
2198,굴소스파인볶음밥,비빔밥볶음밥류,채소류,
2199,츄러스,빵과자류,곡류,
2200,(New)허니순살치킨,튀김류,육류,
2201,피자빵,빵과자류,육류,
2202,황태해장국,국탕류,어패류,
2203,복주머니딤섬,찜류,육류,
2204,강된장찌개,찌개류,양념 및 장류,
2205,두부쑥갓무침,무침류,채소류,
2206,청량된장찌개,찌개류,양념 및 장류,
2207,얼갈이나물된장무침,무침류,채소류,
2208,소시지볶음,볶음류,육류,
2209,돈까스김밥,밥류,육류,
2210,부추전,전류,채소류,
2211,삼색묵무침,무침류,채소류,
2212,미나리무침,무침류,채소류,
2213,생강채,나물류,채소류,
2217,단호박,채소류,채소류,
2218,콩가루배추된장국,국탕류,채소류,
2219,계란야채말이,구이류,난류,
2220,(New)어떡햄,구이류,육류,
2221,우엉간장조림,조림류,채소류,
2222,매콤콩나물국,국탕류,채소류,
2223,참나물두부무침,무침류,채소류,
2224,꽈배기도넛,빵과자류,곡류,
2225,루꼴라샐러드,샐러드류,채소류,
2226,시나몬페스츄리,빵과자류,곡류,
2227,탕평채,무침류,채소류,
2228,쇠고기버섯볶음,볶음류,육류,
2229,두부,찜류,두류,
2233,김치볶음,볶음류,김치류,
2237,치커리만다린샐러드,샐러드류,채소류,
2238,오렌지D,소스류,과일류,
2242,크래미미역줄기볶음,볶음류,해조류,
2243,스팸계란말이,구이류,난류,
2244,유부주머니된장국,국탕류,두류,
2245,보리누룽지탕,국탕류,곡류,
2246,우무콩국,국탕류,채소류,
2247,얼큰순두부찌개,찌개류,두류,
2248,새우로제파스타,면류,어패류,
2249,베이컨숙주굴소스볶음,볶음류,육류,
2250,고구마연근맛탕,조림류,곡류,
2251,매운순대국,덮밥국밥류,육류,
2252,통오이고추무침,무침류,채소류,
2253,크림스프,스프류,곡류,
2254,메쉬드포테이토,튀김류,곡류,
2255,크로크무슈,빵과자류,채소류,
2256,계란장조림,조림류,두류,
2257,곤드레밥,밥류,채소류,
2259,곤드레밥,밥류,곡류,채소류
2273,돈육김치볶음,볶음류,육류,
2274,닭다리살스테이크,구이류,육류,
2275,무말랭이,무침류,채소류,
2276,통감자오븐구이,구이류,곡류,
2277,오뗄햄김밥,밥류,육류,
2278,모둠묵샐러드,샐러드류,채소류,
2279,홍합탕,국탕류,어패류,
2280,오리양념불고기,구이류,육류,
2281,쌈무,무침류,채소류,
2283,쌈무,나물류,채소류,
2285,남친샌드위치,빵과자류,곡류,
2286,유부우동국물,국탕류,두류,
2287,로제파스타,면류,곡류,
2288,미니채소떡갈비,구이류,육류,
2289,미역초무침,무침류,해조류,
2290,가래떡츄러스,빵과자류,곡류,
2291,샌드위치,빵과자류,곡류,
2292,마늘쫑장아찌,장아찌류,채소류,
2293,쪽파무침,무침류,채소류,
2294,방울양배추베이컨볶음,볶음류,육류,채소류
2295,봄동달래무침,무침류,채소류,
2296,물만두찜,만두류,곡류,
2297,맑은꽃게탕,국탕류,어패류,
2298,해물된장찌개,찌개류,어패류,
2299,전주비빔밥,비빔밥볶음밥류,채소류,
2303,콩나물파채절이,무침류,채소류,
2304,마늘쫑건새우볶음,볶음류,어패류,
2305,마늘쫑볶음,볶음류,채소류,
2306,녹두전(김치),전류,김치류,
2307,방풍나물,무침류,채소류,
2308,크림누룽지탕,국탕류,곡류,
2309,치즈케익,빵과자류,곡류,유제품류
2310,맑은장국,국탕류,양념 및 장류,
2311,채소프리타타,구이류,채소류,
2312,감자카레볶음,볶음류,채소류,
2313,오이볶음,볶음류,채소류,
2314,(New)뿌리채소영양밥,밥류,채소류,
2315,새우또띠아,구이류,어패류,
2316,쌀국수,면류,곡류,
2317,단감,과일류,과일류,
2318,단무지채무침,무침류,채소류,
2319,고구마고로케,빵과자류,채소류,
2320,베추겉절이,김치류,김치류,
2321,로스트치킨샐러드,샐러드류,채소류,
2322,모듬소시지볶음,볶음류,육류,
2323,멸치국수,면류,어패류,
2324,옛날돈까스,튀김류,육류,
2325,볼어묵볶음,볶음류,어패류,
2326,오곡밥,밥류,곡류,
2327,임연수구이,구이류,어패류,
2328,알리오올리오파스타,면류,곡류,
2329,햄야채볶음,볶음류,채소류,
2330,풋고추양파무침,무침류,채소류,
2331,동태탕,국탕류,어패류,
2332,어묵무침,무침류,어패류,
2333,전주식콩나물국해장국,국탕류,채소류,
2334,마늘종멸치볶음,볶음류,어패류,
2335,근대나물,무침류,채소류,
2336,베이컨김치볶음밥,비빔밥볶음밥류,육류,
2337,시저D,소스류,양념 및 장류,
2338,타르타르,소스류,양념 및 장류,
2339,연근깨소스무침,무침류,채소류,
2340,해물수제비국,국탕류,어패류,
2341,팥호빵,빵과자류,곡류,
2342,부추만두,만두류,채소류,
2343,주꾸미굴소스볶음,볶음류,어패류,
2344,죽순버섯볶음,볶음류,채소류,
2345,(New)인절미치킨,튀김류,육류,
2346,시금치팬케익,빵과자류,채소류,
2347,오이무초무침,무침류,채소류,
2348,청양해물파전,전류,어패류,
2349,투움바스파게티,면류,육류,
2350,타르타르소스,소스류,양념 및 장류,
2351,매콤볼어묵볶음,볶음류,어패류,
2352,견과류죽,죽류,두류,
2353,굴소스볶음밥,비빔밥볶음밥류,양념 및 장류,
2354,떡갈비조림,조림류,육류,
2355,미역미소시루국,국탕류,해조류,
2356,봄동겉절이,김치류,채소류,
2357,크림새우,튀김류,어패류,
2358,베이컨샌드,빵과자류,육류,
2359,해물돼지갈비찜,찜류,육류,
2360,요플레,유제품류,양념 및 장류,
2361,요플레,유제품류,유제품류,
2364,목살스테이크,구이류,육류,
2365,돈가스또띠아,구이류,육류,
2366,버섯들깨찌개,찌개류,채소류,
